# Data.List

* T - Totality
  * t - total
  * p - partial
* L - lainess
  * l - lazy
  * s - strict
* A - arity
  * f1 - takes a unary fn arg
  * f2 - takes a binary fn arg
* Ds - Description
  * Bf - Basic functions
  * Lt - List transformation (keeps list length)
  * Lf - List folding
  * Lb - List building
  * Se - Sublist extracting
  * Sp - Sublist predicates
  * Ls - List searching
  * Li - List indexing
  * Lz - List zipping and unzipping
  * So - Set-like list ops
  * Sf - String functions: [Char] = String




name             | context                | sig                                        | T | L | A | Ds | notes
-----------------|------------------------|--------------------------------------------|---|---|---|----|------------
null             | @[]                    | [a] -> Bool                                | t | l | 1 | Pr |
head             |                        | [a] -> a                                   | p | l | 1 | Bf |
last             |                        | [a] -> a                                   | p | l | 1 | Bf |
tail             |                        | [a] -> [a]                                 | p | l | 1 | Bf |
init             |                        | [a] -> [a]                                 | p | l | 1 | Bf |
(++)             |                        | [a] -> [a] -> [a]                          | t | l | 2 | Bf |
length           | @[]                    | [a] -> Int                                 | t | l | 1 | Bf |
genericLength    | Num i                  | [a] -> i                                   |   |   | 1 | Bf |
uncons           |                        | [a] -> Maybe (a, [a])                      | t | l | 1 | Bf | pair
map              |                        | (a -> b) -> [a] -> [b]                     | t | l | 2 | Lt | f1
reverse          |                        | [a] -> [a]                                 |   | l | 1 | Lt |
intersperse      |                        | a -> [a] -> [a]                            |   | l | 2 | Lt |
intercalate      |                        | [a] -> [[a]] -> [a]                        |   | l | 2 | Lt |
subsequences     |                        | [a] -> [[a]]                               |   | l | 1 | Lt |
permutations     |                        | [a] -> [[a]]                               |   | l | 1 | Lt |
transpose        |                        | [[a]] -> [[a]]                             |   | l | 1 | Lt |
nub              | Eq a                   | [a] -> [a]                                 |   |   | 1 | Lt |
nubBy            |                        | (a -> a -> Bool) -> [a] -> [a]             |   |   | 2 | Lt | f2
sort             | Ord a                  | [a] -> [a]                                 |   |   | 1 | Lt |
sortOn           | Ord b                  | (a -> b) -> [a] -> [a]                     |   |   | 2 | Lt | f1
sortBy           |                        | (a -> a -> Ordering) -> [a] -> [a]         |   |   | 2 | Lt | f2
foldl            | @[]                    | (b -> a -> b) -> b -> [a] -> b             |   | l | 2 | Lf | f2
foldr            | @[]                    | (a -> b -> b) -> b -> [a] -> b             |   | l | 2 | Lf | f2
foldl1           | @[]                    | (a -> a -> a) -> [a] -> a                  |   | l | 2 | Lf | f2
foldr1           | @[]                    | (a -> a -> a) -> [a] -> a                  |   | l | 2 | Lf | f2
foldl'           | @[]                    | (b -> a -> b) -> b -> [a] -> b             |   | s | 2 | Lf | f2
foldl1'          |                        | (a -> a -> a) -> [a] -> a                  |   | s | 2 | Lf | f2
scanr            |                        | (a -> b -> b) -> b -> [a] -> [b]           |   | l | 2 | Lf | f2
scanl            |                        | (b -> a -> b) -> b -> [a] -> [b]           |   | l | 2 | Lf | f2
scanl'           |                        | (b -> a -> b) -> b -> [a] -> [b]           |   | s | 2 | Lf | f2
scanl1           |                        | (a -> a -> a) -> [a] -> [a]                |   |   | 2 | Lf | f2
scanr1           |                        | (a -> a -> a) -> [a] -> [a]                |   |   | 2 | Lf | f2
mapAccumL        | @[]                    | (a -> b -> (a, c)) -> a -> [b] -> (a, [c]) |   |   | 3 | Lf | f2 pair
